PC1,PC2,PC3,PC4,PC5,onetsoc_code
-5.773186,-6.027519,-4.2142425,1.2450066,1.780106,17-2111.02
-3.7771487,-3.2609272,-3.9244153,1.8197155,0.7496818,17-2112.00
-7.133413,-2.0619848,-3.7695744,-1.4689215,1.2855729,17-2112.01
-4.618978,-3.054317,-4.3930492,-0.42123443,-0.8503328,17-2112.02
-2.786533,-9.999385,-4.1221743,0.9599702,2.2068572,17-2112.03
-3.0112998,-7.251112,-3.6572726,1.709391,1.660262,17-2121.00
-4.0228896,-5.320955,-5.836391,-1.040377,1.7759079,17-2131.00
-3.6814058,-6.5292687,-7.684778,0.65536153,1.8887409,17-2141.00
-2.804488,-6.7599983,-7.029218,-1.7785952,0.8716382,17-2141.01
-4.7839856,-7.136336,-5.0351396,1.5274631,2.0042489,17-2141.02
-6.957284,-6.827675,-5.3155384,2.0133643,0.6154805,17-2151.00
-6.392768,-7.569637,-5.4284706,-0.9701636,0.15189207,17-2161.00
-6.851228,-4.521879,-4.7402983,1.1718266,0.38667443,17-2171.00
-7.0708113,-4.004655,-4.2581153,1.3637944,1.0525206,17-2199.03
-2.4671342,-5.297443,-6.5203648,-1.2350892,1.0334164,17-2199.05
-3.6580966,-6.832687,-5.4428563,-0.9269712,0.43836868,17-2199.06
-2.6267657,-5.6241446,-8.184193,-2.44111,1.4384152,17-2199.07
-2.3169222,-11.197863,-5.2085233,-0.45812732,1.7996765,17-2199.08
-4.5647807,-7.1809597,-5.9546924,-2.520695,1.4622153,17-2199.09
-3.6454067,-1.7683997,-5.5104666,1.9201733,2.8080606,17-2199.10
-1.9231294,-4.3453383,-3.8563364,1.0462689,1.633917,17-2199.11
-2.199033,0.03136945,-5.4001064,0.6214294,2.546747,17-3011.00
-1.8711764,-0.98109996,-4.9802723,0.48222998,1.2884531,17-3012.00
-0.6636271,-0.49207562,-7.4016485,-0.025533093,3.029924,17-3013.00
1.1457791,-5.951981,-4.4709606,-0.63525355,-1.2529399,17-3021.00
-2.2685509,-2.9822137,-4.3859096,2.2381532,0.24587232,17-3022.00
0.7483613,-4.778932,-4.998719,-0.57328403,0.38036984,17-3023.00
5.763029,-7.4693513,-3.3748035,-2.2155828,-1.0165551,17-3024.00
3.7998047,-8.961083,-3.273884,-1.7375262,-0.39974272,17-3024.01
0.62061185,-6.1770616,-1.3855714,-0.2062507,-0.15635383,17-3025.00
-0.7660919,-4.677456,-4.3440757,-0.65352595,0.13053992,17-3026.00
1.6569389,-4.592516,-4.7924013,-2.8623066,-0.7762734,17-3026.01
1.7255986,-7.39539,-2.725092,-0.39225277,-0.23188901,17-3027.00
3.4747136,-5.9247136,-2.2953086,-0.17227747,0.02365286,17-3027.01
2.2482445,-6.4516716,-0.9988812,0.17093594,-0.5597263,17-3029.01
3.3199031,-3.7077885,-5.71178,-1.775924,0.009588686,17-3029.08
1.2008016,-2.1128066,-3.3956215,0.2911134,0.23287745,17-3031.00
-5.8638434,-4.4254,-0.8804105,-1.0623941,0.35502842,19-1011.00
-4.4551997,-4.607114,-1.8683224,-1.999791,0.36301968,19-1012.00
-4.372151,-5.6778846,-1.1615098,-0.95822674,1.278064,19-1013.00
-6.5058584,-6.773641,-4.9188256,-5.4914474,0.4431189,19-1021.00
-4.9879313,-5.2820444,-2.481235,-3.9797976,-1.3604189,19-1022.00
-3.8535328,-3.8801198,1.3831582,-0.17463814,-0.83167446,19-1023.00
-7.6738873,-3.9852996,-4.775383,-3.086267,-1.1912178,19-1029.01
-7.025968,-6.1500144,-2.5057096,-3.6455564,-0.2762008,19-1029.02
-8.289393,-3.8234885,-2.937821,-4.9064717,-0.9809392,19-1029.03
-5.5778904,-4.348505,-1.6476002,-1.5289012,-0.97008663,19-1029.04
-2.2161503,-4.052223,0.9048075,1.1201116,1.3148421,19-1031.00
-2.6042366,-2.830364,1.5306455,1.7958426,0.9971779,19-1031.02
-2.9511244,-0.9503876,5.0194798,-0.2935072,2.269025,19-1031.03
-2.1570783,-5.7420764,1.8535163,2.7473853,0.13471752,19-1032.00
-11.652002,-2.7354784,-0.7826448,-2.9861724,-0.53462946,19-1041.00
-7.201536,-2.9868155,-3.2874622,-4.8428674,-1.8759564,19-1042.00
-7.1632347,-4.7026744,-5.61131,-2.8268769,0.29162902,19-2011.00
-9.027818,-6.4449778,-6.7301955,-2.4982865,0.5154501,19-2012.00
-7.8154693,-2.1093814,-3.1814737,-1.2710577,-0.16192618,19-2021.00
-2.4934454,-5.0972605,-4.5059247,-2.6728268,-1.0988706,19-2031.00
-4.915711,-4.831191,-6.0903187,-2.3674116,0.49328458,19-2032.00
-5.9213543,-3.3493557,-1.1058903,-0.31975096,-1.2972317,19-2041.00
-7.8468385,1.2272063,-2.9731905,-1.0078893,0.08973192,19-2041.01
-4.978986,-4.3899426,-1.307282,0.9214781,1.3635231,19-2041.02
-7.023945,-1.7217543,-5.0487823,-0.6812957,1.2610785,19-2041.03
-4.4502354,-3.8112793,-2.0484097,-1.87784,0.29933438,19-2042.00
-3.651044,-4.789852,-3.0564308,-1.9104513,0.3005085,19-2043.00
-6.837473,-4.1068006,-5.25935,-1.2074391,1.0001638,19-2099.01
-8.78463,2.5117762,-4.3813076,-0.93053883,0.09598812,19-3011.00
-8.62855,0.9259178,-4.7792635,-0.76547945,-0.6343116,19-3011.01
-8.522598,1.9360551,-3.5260262,-0.2864611,-1.2090454,19-3022.00
-12.94965,-1.1839736,0.046760935,0.05360605,0.54174554,19-3032.00
-10.472498,2.5791304,4.7210264,-3.199168,-0.66982716,19-3033.00
-10.107897,2.465823,2.8856184,-2.9908211,-1.5086987,19-3034.00
-10.126559,4.3417597,0.643085,-3.552921,2.47326,19-3041.00
-8.927287,-0.095691614,-0.52534336,2.0049365,1.6926717,19-3051.00
-6.79844,-1.3847897,2.1757038,-3.9617171,2.6139646,19-3091.00
-7.8452315,0.38234752,-2.0325842,-2.5091076,1.545019,19-3092.00
-5.9728665,5.575155,0.03699067,-2.3507261,2.9568238,19-3093.00
-9.515606,4.408754,0.096017644,-2.8063898,1.2385256,19-3094.00
-8.163767,-1.7160922,-2.7560916,2.235776,1.1672133,19-3099.01
1.5646367,-2.4082406,-0.57346696,0.49815965,-0.46276498,19-4012.00
-0.15009375,-4.5330386,-1.7211158,0.46693012,0.2466998,19-4012.01
1.4914078,0.459842,-3.845436,-2.7251368,-2.3400874,19-4013.00
0.52587014,-2.1935003,-3.839922,-4.843308,-2.5215335,19-4021.00
0.3025905,-4.2182393,-3.447335,-3.6607854,-1.3988788,19-4031.00
-0.79819465,-3.906277,-0.26848114,-0.52606314,-1.3700291,19-4042.00
2.2009473,-1.5045247,-3.2579374,-1.2076048,-0.35947233,19-4043.00
3.6834297,-8.048067,-0.33977547,-1.9716641,-3.8193457,19-4051.00
0.23564193,-4.780269,-1.3875937,-2.5757205,-3.6846287,19-4051.02
-4.5979652,3.406437,-4.306745,-2.5105307,-1.5555068,19-4061.00
2.6881552,-4.6674366,3.076761,1.3199402,0.8214063,19-4071.00
-1.1682179,-5.0178804,1.6457407,-2.3695462,-3.3226845,19-4092.00
0.81312495,-2.2679617,-2.9445765,-1.6024114,-1.515808,19-4099.01
-1.7346282,-2.3069139,-5.3121376,-0.1067434,-0.40254304,19-4099.03
-4.842292,-6.064092,0.5498884,-0.35291234,-0.4523658,19-5011.00
-2.3696308,-3.236383,1.0271832,0.6762379,-0.151175,19-5012.00
-7.653899,0.49197835,7.2284436,-1.0556517,0.6309626,21-1011.00
-8.7626505,3.164737,5.4862366,-2.8940413,-0.24706957,21-1012.00
-10.244855,2.8638263,4.839508,-4.255058,-0.41967845,21-1013.00
-9.97992,1.926696,5.3556404,-3.0440075,-0.5141984,21-1014.00
-7.8472757,4.445288,4.0577164,-0.3412669,0.23811887,21-1015.00
-7.497735,1.0877455,6.499899,-1.285744,-0.7042682,21-1021.00
-8.414258,3.0746663,6.2729816,-3.0232248,0.33152917,21-1022.00
-9.239864,1.219339,5.6188626,-3.2722523,-0.47931585,21-1023.00
-8.023286,2.440024,4.2869015,-0.8313291,0.9443498,21-1091.00
-3.8266585,2.9618554,5.356681,-1.0046395,-1.8120402,21-1092.00
-4.946631,3.5965996,4.398352,-1.7834119,-1.722149,21-1093.00
-4.4746637,0.869009,6.061217,-0.3727758,-0.5605673,21-1094.00
-11.989855,1.9515035,6.3717346,1.2341369,3.283073,21-2011.00
-8.650367,2.9884996,3.5713043,0.35138947,2.5967107,21-2021.00
-10.621139,0.4297213,0.7303703,1.3772637,-1.25276,23-1011.00
-6.171523,5.20725,-2.116233,-2.1025841,-3.616003,23-1012.00
-8.14388,3.112311,0.35331523,-0.7399758,-4.100676,23-1021.00
-8.131894,6.003543,0.38680187,-0.43236712,-1.9268882,23-1022.00
-10.152496,2.529414,1.2969087,-1.1637144,-2.800019,23-1023.00
-4.0629168,6.723481,-2.078425,-1.3041078,-3.785157,23-2011.00
-2.0783093,7.8089294,-4.1330843,-0.271193,-3.5454686,23-2093.00
-9.684929,3.1252542,-0.08826262,0.40629992,1.1085086,25-1011.00
-9.135972,-0.68775964,-1.2752779,0.33613685,1.8097245,25-1021.00
-7.8143897,2.7566702,-3.6037743,-3.1261413,-0.59447783,25-1022.00
-9.341785,-1.1324679,0.5328494,-1.115245,5.584356,25-1031.00
-7.9622755,-2.6305645,-4.4122133,-1.491638,2.2488441,25-1032.00
-7.093447,-0.21796726,2.197363,-0.75789183,2.685552,25-1041.00
-8.8110075,0.18796314,-0.37541574,-4.2904572,1.2670038,25-1042.00
-7.467918,-0.3885791,0.98291487,-1.2890046,1.2753427,25-1043.00
-9.113269,0.50158966,-1.1150424,-3.2911954,1.4729227,25-1051.00
-8.152456,-1.424151,-1.484219,-3.500789,0.96513975,25-1052.00
-8.780921,0.67417085,-0.6679541,-2.4400733,2.2112973,25-1053.00
-6.71807,-1.6067523,-2.9322336,-3.1410482,1.4045174,25-1054.00
-10.934064,1.9096956,3.776108,-4.0663424,3.6273699,25-1061.00
-9.21444,4.7558856,2.411215,-3.180941,3.814304,25-1062.00
-8.035128,3.2201996,-1.6925313,-1.207975,0.2239787,25-1063.00
-8.469061,3.428794,-0.41319883,-3.3903422,2.8295567,25-1064.00
-8.639185,6.0263805,1.564664,-2.7696862,2.2716725,25-1065.00
-10.102634,3.6282032,1.7074957,-4.3902984,2.2326033,25-1066.00
-9.637249,5.529691,2.4094315,-3.2764368,3.0035985,25-1067.00
-7.915463,0.6236839,3.0212123,-2.639115,1.3841251,25-1071.00
-7.9779315,-1.2771407,4.771405,-3.7876935,0.35644346,25-1072.00
-9.52173,4.0744047,2.272093,-2.732125,2.204249,25-1081.00
-8.978597,3.4037776,1.2449456,-2.3658013,1.2879151,25-1082.00
-8.822009,4.504141,2.498873,-0.71142757,1.3039855,25-1111.00
-9.208141,5.095882,0.7859506,-2.4975784,1.2799408,25-1112.00
-10.767492,3.7820199,3.399111,-2.707986,1.9990262,25-1113.00
-7.274449,2.4199977,3.5884657,-3.4658895,7.2084017,25-1121.00
-9.8573675,4.947851,3.23444,-2.1701388,3.5391362,25-1122.00
-10.022351,5.734281,3.1069677,-3.5939934,3.810638,25-1123.00
-8.079538,6.679144,2.1985373,-4.235736,3.083569,25-1124.00
-10.107941,5.291068,3.0709195,-2.7234569,3.5988307,25-1125.00
-8.618426,6.409608,1.6924931,-4.930486,3.0065398,25-1126.00
-7.7901764,3.891647,1.157229,-1.5825205,2.446638,25-1192.00
-7.7547727,1.8812695,1.9922756,-1.9565547,2.5069513,25-1193.00
-2.3193686,-1.4333885,2.561722,0.06287589,2.9107294,25-1194.00
-3.6395316,2.8668807,4.906781,-2.1395328,1.9658982,25-2011.00
-6.866513,1.7360551,5.648247,-2.371744,2.4138403,25-2012.00
-8.279699,-0.3604374,3.850468,-3.3760953,1.3884683,25-2021.00
-9.130211,1.2026341,3.099633,-1.5003413,1.9403946,25-2022.00
-5.511891,-1.2213892,3.3422515,-1.0036079,2.2761643,25-2023.00
-9.24216,0.48638877,2.537172,-2.0324814,1.6827009,25-2031.00
-6.3423753,-2.717014,4.104773,0.040622436,1.5594755,25-2032.00
-5.5274587,2.2420626,5.6930385,-4.094785,0.32500193,25-2051.00
-9.449004,1.528971,3.2366586,-2.7431548,0.5730032,25-2057.00
-8.8642,-0.86025375,4.3111835,-1.082728,1.8849821,25-2058.00
-3.432986,-0.048167743,6.575885,-4.110547,0.96139485,25-2059.01
-7.22715,5.1370068,0.7775969,-3.050469,-0.0755113,25-3011.00
-1.4487187,6.8900123,0.592586,-3.1885896,2.924366,25-3021.00
-7.76338,4.2051616,1.0865966,-3.4717941,0.13265513,25-3041.00
-4.175388,3.4779575,-0.8287644,-0.63903975,1.7920603,25-4011.00
-6.8196373,0.43536037,1.0148315,-0.022377165,4.5827208,25-4012.00
0.88553166,0.26183906,-0.41314748,-2.1683378,3.2127538,25-4013.00
-4.70515,3.5473917,0.92811424,0.672582,0.5223793,25-4022.00
1.1945301,6.841658,-0.41522342,-0.9920481,-0.43558443,25-4031.00
-7.083697,-3.1948647,3.2655046,1.2361686,1.2888813,25-9021.00
-11.412393,-0.45209354,3.181809,0.25833663,2.1873786,25-9031.00
-4.2020774,5.6997385,-1.1374216,-3.1262124,1.574909,25-9044.00
-7.1351056,0.9188265,-1.4884876,0.78311014,6.483566,27-1011.00
4.790116,2.998635,-2.7262604,0.14539844,7.2383223,27-1012.00
2.7800412,2.4704423,-2.275424,-1.0811893,7.6635604,27-1013.00
-3.207968,1.7199886,-3.3806956,0.11010984,4.4685664,27-1014.00
-3.5012624,-2.5753155,-4.908252,0.18373159,4.738922,27-1021.00
-5.4042087,-1.1469495,-0.68930995,0.5553057,4.98565,27-1022.00
1.1025499,3.6551797,-0.6013778,1.0800064,4.1731877,27-1023.00
-3.9587443,3.8299897,-2.539539,0.25016218,6.958201,27-1024.00
-7.1380563,-0.809513,-1.0287491,2.6197357,6.137261,27-1025.00
2.720885,3.6117637,0.14352778,0.053322803,4.283698,27-1026.00
-3.7858548,-2.5836387,-0.8544541,0.45373097,8.001986,27-1027.00
-2.2373621,8.96424,3.454836,-3.4368384,6.350389,27-2011.00
-6.5929074,-2.4049227,1.3474083,1.7452576,2.7028575,27-2012.00
-9.013279,-1.7510225,1.7061534,4.3814077,2.7094495,27-2012.03
-6.7812324,5.1302595,1.0021467,1.7347525,2.5476718,27-2012.04
-3.369472,-3.646862,0.47143602,0.8640581,0.25423038,27-2012.05
3.6284962,-0.46757722,7.098277,1.9561551,2.4980326,27-2021.00
-6.835874,-3.0270705,6.0338864,0.9126272,2.7895622,27-2022.00
2.310139,3.0417402,2.5668151,-0.82212365,-2.1687868,27-2023.00
7.3009,7.2949033,6.0929465,-2.2856467,6.340568,27-2031.00
-1.4224342,1.2343287,7.6455197,-1.309273,8.546007,27-2032.00
-2.7507203,1.645097,3.0523624,-0.8850848,4.6203165,27-2041.00
2.1143117,3.9915552,2.5299795,-2.8402197,3.69208,27-2042.00
-4.286726,3.8351018,2.4132402,0.40586656,2.042457,27-3011.00
-7.0879145,3.8494923,1.3696263,-0.25452763,1.4178697,27-3023.00
-9.1219425,4.9736166,1.02185,2.0908608,2.981374,27-3031.00
-6.92192,2.952851,-1.063072,-0.49180496,1.4022583,27-3041.00
